THERMO ALL
 300.000  1000.000  5000.000
H2O(F)            FAKE  O   1H   2          G   200.000  6000.000 1000.00      1
 2.72105809E+00 2.92858719E-03-7.58343453E-07 9.21395195E-11-4.13616719E-15    2
-3.47471785E+04 6.61167836E+00 3.80027423E+00 1.15068379E-03-1.89993007E-06    3
 3.39215841E-09-1.46388118E-12-3.50899697E+04 7.70344059E-01                   4
!H2O(F)            FAKE  O   1H   2          G   200.000  6000.000 1000.00      1
! 2.72105809E+00 2.92858719E-03-7.58343453E-07 9.21395195E-11-4.13616719E-15    2
!-3.52151819E+04 6.61167836E+00 3.80027423E+00 1.15068379E-03-1.89993007E-06    3
! 3.39215841E-09-1.46388118E-12-3.55579732E+04 7.70344059E-01                   4
H2  REF ELEMENT   RUS 78H   20   00   00   0G   200.000  6000.00  1000.0       1
 0.29328305E+01 0.82659802E-03-0.14640057E-06 0.15409851E-10-0.68879615E-15    2
-0.81305582E+03-0.10243164E+01 0.23443029E+01 0.79804248E-02-0.19477917E-04    3
 0.20156967E-07-0.73760289E-11-0.91792413E+03 0.68300218E+00 0.00000000E+00    4
O2 REF ELEMENT    RUS 89O   20   00   00   0G   200.000  6000.00  1000.0       1
 3.66096083E+00 6.56365523E-04-1.41149485E-07 2.05797658E-11-1.29913248E-15    2
-1.21597725E+03 3.41536184E+00 3.78245636E+00-2.99673415E-03 9.84730200E-06    3
-9.68129508E-09 3.24372836E-12-1.06394356E+03 3.65767573E+00 0.00000000E+00    4
H2O               L 5/89H   2O   10   00   0G   200.000  6000.00  1000.0       1
 0.26770389E+01 0.29731816E-02-0.77376889E-06 0.94433514E-10-0.42689991E-14    2
-0.29885894E+05 0.68825500E+01 0.41986352E+01-0.20364017E-02 0.65203416E-05    3
-0.54879269E-08 0.17719680E-11-0.30293726E+05-0.84900901E+00-0.29084817E+05    4
CO                RUS 79C   1O   10   00   0G   200.000  6000.00  1000.0       1
 0.30484859E+01 0.13517281E-02-0.48579405E-06 0.78853644E-10-0.46980746E-14    2
-0.14266117E+05 0.60170977E+01 0.35795335E+01-0.61035369E-03 0.10168143E-05    3
 0.90700586E-09-0.90442449E-12-0.14344086E+05 0.35084093E+01-0.13293628E+05    4
CO2               L 7/88C   1O   20   00   0G   200.000  6000.00  1000.0       1
 0.46365111E+01 0.27414569E-02-0.99589759E-06 0.16038666E-09-0.91619857E-14    2
